date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,formation,referee,sh,sot,dist,fk,pk,pkatt,season,team,gf_rolling,ga_rolling,xg_rolling,xga_rolling,poss_rolling,attendance_rolling,sh_rolling,sot_rolling,dist_rolling,fk_rolling,pk_rolling,pkatt_rolling
2021-12-26,15,19,1.0,0,1,1.3138030523023438,1.7492107592727837,12,1.3470542895572366,2.0283277219955553,-1.7901439286884138,1.3460239815625878,12,3,0.4316592611881658,1.4991656817474244,-0.17545442348571127,1.229984962060572,-0.35197533958519506,-0.395811402901264,2022,10,0.8255833764139906,0.024299969186633536,0.7227616888417628,0.1710186530132547,0.41089116199312775,0.9163668425937727,-0.10385082121662981,0.37327572541631343,-0.168359802562868,-0.10030862586824381,0.7123858180275514,0.5782776524656763
2021-12-28,20,20,3.0,1,2,-0.03219279915912948,-1.3361489314033763,11,-0.9611924591341496,1.376817201252038,-0.9408097128716666,0.8964710787179372,14,14,-1.229259222068021,-1.4543349156946173,-0.5877933070037029,-0.7654554198326518,-0.35197533958519506,-0.395811402901264,2022,10,1.0146589038166798,0.3725287491170152,1.0283180295646415,0.7185335077331375,-0.35858078231027807,1.1199983488127063,-0.16167551398210225,0.58277899763089,-0.20216995421651193,0.5648381680961642,0.7123858180275514,0.5782776524656762
2022-01-19,19,17,4.0,1,1,0.7465764700942769,1.2849570665079313,18,0.43038526738860095,2.212810670514364,-0.12101029731386416,0.8896278338454743,4,10,0.4316592611881658,0.12458565557262284,0.39120230199864153,-0.7654554198326518,-0.35197533958519506,-0.395811402901264,2022,10,1.0146589038166798,-0.30769570117798983,0.6058719474772675,0.868221624780534,-0.9237724160612363,1.043787461043367,-0.5938593116669614,0.05647214054180997,-0.17890295211762988,0.5648381680961642,0.7123858180275514,0.5782776524656762
2022-01-23,14,23,1.0,1,0,-0.03219279915912948,-0.08019028775317895,3,1.1689657393498092,-0.2938828659777585,-0.5277262234690938,0.8681110567582563,7,13,0.6051333394845831,0.5160370212151973,1.0661615496382217,1.229984962060572,-0.35197533958519506,-0.395811402901264,2022,10,0.6760622410791637,0.5660062981257794,0.2720823659372294,1.0395056989203246,-0.9506546462913151,1.0440409647086664,-0.12198023323056299,0.056472140541809955,-0.12401514283025737,-0.10030862586824381,-0.35197533958519506,-0.395811402901264
2022-02-10,19,24,5.0,0,1,-1.3093661983407248,0.7045244194816388,11,-1.6342623115227983,1.4579889005665299,-1.0242687891955906,1.3430698694848908,7,3,-1.4918980781587348,-1.4543349156946173,0.0936319188327696,1.229984962060572,-0.35197533958519506,-0.395811402901264,2022,10,0.22739695725867257,-0.04379405088287488,0.2127195158680869,1.0395056989203246,-0.5298487445515417,0.8847366564405559,-0.06415554046509053,-0.2712374129689324,0.2898568482110537,-0.10030862586824381,-0.35197533958519506,-0.395811402901264
2022-02-13,16,25,1.0,1,0,0.7465764700942769,0.7045244194816388,21,0.1759737539726357,-0.9920021856868266,0.5182719042218038,0.891736936918735,10,14,0.06729217098655654,-1.4543349156946173,0.7479796954802609,-0.7654554198326518,2.8411081332530443,2.526455763199557,2022,10,-0.1983275091351925,0.6364303994121302,-0.011637101594796029,1.0395056989203246,-0.5576684366595164,1.0336029200295405,-0.15170182582866176,-0.2712374129689324,0.5169985901565445,0.5648381680961642,-0.35197533958519506,-0.395811402901264
2022-02-20,16,26,1.0,0,1,-0.03219279915912948,0.7045244194816388,22,0.5491842099872372,-0.9920021856868266,1.2230145581299694,0.8783220009012108,10,4,0.9372329847678031,1.1965197211339393,0.42394366555659857,1.229984962060572,-0.35197533958519506,-0.395811402901264,2022,10,-0.19832750913519256,0.44295285040336596,-0.09644093940011773,0.05736794963398154,-0.3445743694809604,1.0343059543872941,-0.27315752256253156,-0.7975442700580123,0.635924387983751,0.5648381680961642,0.7123858180275514,0.5782776524656763
2022-03-01,19,22,3.0,0,2,0.7465764700942769,-1.3361489314033763,4,0.43038526738860095,-0.2938828659777585,0.4390670921264145,0.360132477974964,10,3,1.697636763017045,0.8706558651036945,0.126958615245014,1.229984962060572,-0.35197533958519506,-0.395811402901264,2022,10,-0.1983275091351926,0.7045244194816388,-0.3030347825209751,-0.17533849026904116,0.2390058910520607,1.0377096024349457,-0.16245764080145828,-0.5707167034184317,0.4218517599565432,0.5648381680961642,0.7123858180275514,0.5782776524656762
2022-03-05,12,28,7.0,1,2,-0.03219279915912948,-1.3361489314033763,9,-1.1686177870503889,0.8278727244591682,0.04006337926565814,0.8966386894318144,10,6,-0.9839779741210295,0.12458565557262284,0.7479796954802609,-0.7654554198326518,-0.35197533958519506,-0.395811402901264,2022,10,0.48698671367647467,0.024299969186633536,0.38518107711615807,-0.7592957457838039,0.7267845181593957,0.71006380526497,0.9007206395904683,0.20428022351433886,0.4329606587606247,0.5648381680961642,0.7123858180275514,0.5782776524656762
2022-03-13,16,29,1.0,0,1,-1.3093661983407248,0.7045244194816388,0,-1.6342623115227983,1.2063858098106481,0.3596691270027952,1.4543916911901988,7,2,-1.229259222068021,-0.31629047111465197,-0.62265391267188,-0.7654554198326518,-0.35197533958519506,-0.395811402901264,2022,10,0.22739695725867257,-0.6559244811083715,-0.06301610322485014,-0.15267077573513907,0.5673816765073472,0.7116977227693297,0.5502972578879397,0.7305870806034189,0.43296065876062473,0.5648381680961642,-0.35197533958519506,-0.395811402901264
